BRMA,2015 SAR,2015 1 BED,2015 2 BED,2015 3 BED,2015 4 BED,2016 SAR,2016 1 BED,2016 2 BED,2016 3 BED,2016 4 BED,2017 SAR,2017 1 BED,2017 2 BED,2017 3 BED,2017 4 BED,2018 SAR,2018 1 BED,2018 2 BED,2018 3 BED,2018 4 BED
Ashford,27.49,26.40,27.57,27.66,27.53,24.80,24.98,27.57,23.23,23.78,25.06,21.87,24.61,22.79,27.53,21.27,21.03,22.55,18.40,20.68
Aylesbury,27.39,27.92,26.27,26.82,28.02,28.14,22.05,23.14,24.30,29.36,28.94,18.48,20.70,19.52,24.74,22.11,18.04,20.96,21.33,24.74
Barnsley,30.00,27.58,28.81,26.84,30.00,30.00,28.89,29.96,26.84,25.88,27.43,25.17,27.71,26.84,23.01,30.00,23.40,26.68,26.84,23.01
Barrow-in-Furness,27.64,27.24,30.00,30.00,30.00,27.64,27.24,30.00,26.54,30.00,24.19,27.24,25.01,26.54,29.26,24.80,23.18,25.01,22.93,29.26
Basingstoke,20.70,27.43,27.45,28.49,27.01,28.83,24.27,24.80,28.49,27.01,23.45,21.57,24.80,24.00,23.89,23.46,21.05,20.43,22.11,23.89
Bath,30.00,27.12,27.29,30.00,27.86,27.32,22.41,27.29,23.50,22.31,21.59,18.34,18.74,19.40,20.08,21.09,17.65,17.18,17.60,18.32
Bedford,30.00,29.53,27.69,27.44,26.23,21.92,25.11,23.89,22.31,22.83,17.24,18.60,18.97,20.09,16.90,15.08,17.67,18.58,18.30,18.47
Birmingham,26.18,28.90,25.75,26.87,25.07,22.38,26.11,25.75,26.21,25.07,18.80,20.85,21.40,23.18,20.90,24.52,19.61,21.67,20.61,19.16
Black Country,30.00,30.00,26.50,27.21,27.83,30.00,30.00,26.50,25.75,27.83,28.09,26.67,26.50,25.75,25.49,28.09,25.67,23.42,25.75,25.49
Blackwater Valley,23.26,28.40,29.10,26.85,27.54,23.66,25.25,26.46,23.02,27.24,23.66,22.55,22.06,21.38,22.15,26.66,22.55,22.06,17.54,22.15
Bolton and Bury,20.79,27.66,30.00,30.00,30.00,20.79,23.67,26.18,25.76,23.82,20.95,23.67,26.18,22.40,17.36,12.55,23.67,22.25,19.61,15.69
Bournemouth,26.20,27.92,28.68,26.97,30.00,26.69,27.92,26.27,26.97,27.67,23.04,26.45,25.71,23.49,26.25,22.10,24.43,23.14,21.98,21.72
Bradford & South Dales,30.00,30.00,30.00,28.38,26.45,25.50,27.57,30.00,28.38,22.05,25.50,30.00,30.00,27.82,23.20,27.46,27.57,25.28,24.48,24.43
Brighton and Hove,24.03,26.27,28.58,25.96,25.34,24.86,23.14,22.18,17.79,23.72,25.34,19.70,20.47,17.39,21.41,20.88,18.58,19.47,16.35,19.93
Bristol,26.53,26.33,27.83,26.59,26.32,22.65,23.04,22.46,23.79,23.03,18.81,17.43,17.03,20.02,16.70,19.18,15.58,15.23,18.60,14.10
Bury St Edmunds,25.74,26.17,28.24,27.21,25.18,19.94,24.55,26.09,24.92,24.80,18.87,21.69,21.32,19.83,16.31,23.80,19.87,19.74,18.20,15.69
Cambridge,26.62,25.93,27.44,27.89,25.94,21.41,25.93,23.87,23.41,14.79,15.85,14.37,17.77,16.41,14.30,16.00,14.13,17.26,16.78,13.89
Canterbury,29.75,22.83,27.21,28.25,25.04,28.07,23.36,26.63,24.40,28.52,28.07,22.20,23.00,21.96,24.75,28.07,22.20,21.65,20.00,27.84
Central Greater Manchester,26.76,23.60,25.55,27.69,25.98,26.54,24.35,25.55,27.00,25.98,24.39,21.52,25.55,21.24,22.76,21.15,18.04,20.18,18.97,20.16
Central Lancs,25.71,29.71,30.00,30.00,30.00,25.26,29.71,30.00,30.00,28.15,24.36,29.71,26.51,30.00,24.39,17.28,29.71,26.51,28.42,24.39
Central London,13.53,10.49,6.63,3.98,3.03,14.74,9.68,5.90,3.90,2.98,16.54,8.30,4.98,3.51,2.18,19.87,9.42,6.26,3.46,2.38
Central Norfolk & Norwich,27.19,26.70,26.91,28.98,30.00,16.64,24.88,26.16,25.62,30.00,16.59,21.71,23.40,22.23,25.01,20.33,21.71,21.59,22.23,22.93
Chelmsford,30.00,27.30,27.83,27.89,26.52,30.00,25.90,24.95,25.49,23.07,26.95,23.37,22.46,21.84,17.77,12.76,20.16,22.17,19.96,15.45
Cheltenham,30.00,28.38,28.99,28.06,25.75,30.00,28.38,26.39,26.00,25.75,26.51,20.69,23.57,25.51,19.84,23.38,23.79,23.57,24.10,20.09
Cherwell Valley,27.22,26.06,26.90,27.05,24.79,30.00,22.94,22.82,24.36,22.09,23.74,20.29,20.68,22.39,18.19,22.82,21.15,22.60,22.39,21.82
Chesterfield,25.90,30.00,30.00,30.00,30.00,29.03,30.00,30.00,30.00,30.00,29.03,26.45,28.07,30.00,26.79,24.03,24.39,25.28,29.11,30.00
