"","BRMA","ID","Country","URClass","CIClass","RentData","Year","Room"
"3","Ashford",86,"England","Rural","Coastal",27.49,2015,"SAR"
"4","Aylesbury",107,"England","Rural","Inland",27.39,2015,"SAR"
"6","Barnsley",121,"England","Rural","Inland",30,2015,"SAR"
"7","Barrow-in-Furness",154,"England","Rural","Coastal",27.64,2015,"SAR"
"8","Basingstoke",41,"England","Rural","Inland",20.7,2015,"SAR"
"9","Bath",27,"England","Rural","Inland",30,2015,"SAR"
"10","Bedford",94,"England","Rural","Inland",30,2015,"SAR"
"11","Birmingham",19,"England","Urban","Inland",26.18,2015,"SAR"
"12","Black Country",18,"England","Rural","Inland",30,2015,"SAR"
"13","Blackwater Valley",80,"England","Rural","Inland",23.26,2015,"SAR"
"15","Bolton and Bury",25,"England","Rural","Inland",20.79,2015,"SAR"
"16","Bournemouth",38,"England","Urban","Coastal",26.2,2015,"SAR"
"17","Bradford & South Dales",129,"England","Urban","Inland",30,2015,"SAR"
"20","Brighton and Hove",82,"England","Urban","Coastal",24.03,2015,"SAR"
"21","Bristol",28,"England","Urban","Coastal",26.53,2015,"SAR"
"22","Bury St Edmunds",92,"England","Rural","Inland",25.74,2015,"SAR"
"24","Cambridge",93,"England","Urban","Inland",26.62,2015,"SAR"
"25","Canterbury",15,"England","Rural","Coastal",29.75,2015,"SAR"
"28","Central Greater Manchester",61,"England","Urban","Inland",26.76,2015,"SAR"
"29","Central Lancs",57,"England","Rural","Inland",25.71,2015,"SAR"
"30","Central London",146,"England","Urban","Inland",13.53,2015,"SAR"
"31","Central Norfolk & Norwich",102,"England","Urban","Coastal",27.19,2015,"SAR"
"33","Chelmsford",91,"England","Rural","Coastal",30,2015,"SAR"
"34","Cheltenham",30,"England","Rural","Inland",30,2015,"SAR"
"35","Cherwell Valley",110,"England","Rural","Inland",27.22,2015,"SAR"
"36","Chesterfield",124,"England","Rural","Inland",25.9,2015,"SAR"
"37","Chichester",166,"England","Rural","Coastal",28.07,2015,"SAR"
"38","Chilterns",108,"England","Rural","Inland",30,2015,"SAR"
"39","Colchester",8,"England","Rural","Coastal",27.43,2015,"SAR"
"40","Coventry",52,"England","Urban","Inland",27,2015,"SAR"
"41","Crawley & Reigate",78,"England","Rural","Inland",28.9,2015,"SAR"
"42","Darlington",67,"England","Rural","Inland",26.22,2015,"SAR"
"43","Derby",122,"England","Rural","Inland",28.26,2015,"SAR"
"44","Doncaster",116,"England","Rural","Coastal",25.75,2015,"SAR"
"45","Dover-Shepway",85,"England","Rural","Coastal",28.66,2015,"SAR"
"48","Durham",66,"England","Rural","Inland",30,2015,"SAR"
"49","East Cheshire",58,"England","Rural","Inland",30,2015,"SAR"
"51","East Lancs",56,"England","Rural","Inland",30,2015,"SAR"
"52","East Thames Valley",109,"England","Rural","Inland",27.78,2015,"SAR"
"53","Eastbourne",164,"England","Rural","Coastal",30,2015,"SAR"
"54","Eastern Staffordshire",49,"England","Rural","Inland",25.48,2015,"SAR"
"55","Exeter",112,"England","Urban","Coastal",26.85,2015,"SAR"
"59","Fylde Coast",33,"England","Urban","Coastal",25.45,2015,"SAR"
"60","Gloucester",48,"England","Rural","Inland",27.72,2015,"SAR"
"61","Grantham & Newark",130,"England","Rural","Inland",24.11,2015,"SAR"
"63","Greater Liverpool",23,"England","Urban","Coastal",26.78,2015,"SAR"
"64","Grimsby",132,"England","Rural","Coastal",30,2015,"SAR"
"65","Guildford",79,"England","Rural","Inland",25.69,2015,"SAR"
"66","Halifax",119,"England","Rural","Inland",28.83,2015,"SAR"
"67","Harlow & Stortford",95,"England","Rural","Inland",30,2015,"SAR"
"68","Harrogate",118,"England","Rural","Inland",29.06,2015,"SAR"
"69","Herefordshire",44,"England","Rural","Inland",24.7,2015,"SAR"
"70","High Weald",83,"England","Rural","Inland",26.57,2015,"SAR"
"72","Hull & East Riding",168,"England","Urban","Coastal",26.63,2015,"SAR"
"73","Huntingdon",156,"England","Rural","Inland",30,2015,"SAR"
"74","Inner East London",142,"England","Rural","Inland",19.18,2015,"SAR"
"75","Inner North London",161,"England","Rural","Inland",12.79,2015,"SAR"
"76","Inner South East London",144,"England","Rural","Inland",23.29,2015,"SAR"
"77","Inner South West London",145,"England","Rural","Inland",22.71,2015,"SAR"
"78","Inner West London",159,"England","Rural","Inland",27.71,2015,"SAR"
"79","Ipswich",7,"England","Urban","Coastal",26.36,2015,"SAR"
"80","Isle of Wight",1,"England","Rural","Coastal",30,2015,"SAR"
"81","Kendal",155,"England","Rural","Coastal",30,2015,"SAR"
"82","Kernow West",3,"England","Rural","Coastal",28.66,2015,"SAR"
"83","Kings Lynn",100,"England","Rural","Coastal",21.47,2015,"SAR"
"84","Kirklees",120,"England","Rural","Inland",30,2015,"SAR"
"85","Lancaster",128,"England","Rural","Coastal",23.34,2015,"SAR"
"86","Leeds",114,"England","Urban","Inland",26.83,2015,"SAR"
"87","Leicester",169,"England","Urban","Inland",29.39,2015,"SAR"
"88","Lincoln",131,"England","Rural","Inland",27.68,2015,"SAR"
"89","Lincolnshire Fens",133,"England","Rural","Coastal",29.82,2015,"SAR"
"91","Lowestoft & Great Yarmouth",99,"England","Rural","Coastal",30,2015,"SAR"
"92","Luton",106,"England","Urban","Inland",17.46,2015,"SAR"
"93","Maidstone",87,"England","Rural","Inland",28.97,2015,"SAR"
"94","Medway & Swale",88,"England","Rural","Coastal",26.42,2015,"SAR"
"95","Mendip",13,"England","Rural","Inland",30,2015,"SAR"
"97","Mid & East Devon",11,"England","Rural","Coastal",27.1,2015,"SAR"
"98","Mid & West Dorset",170,"England","Rural","Coastal",27.7,2015,"SAR"
"99","Mid Staffs",50,"England","Rural","Inland",27.7,2015,"SAR"
"100","Milton Keynes",105,"England","Rural","Inland",28.24,2015,"SAR"
"103","Newbury",32,"England","Rural","Inland",24.8,2015,"SAR"
"105","North Cheshire",73,"England","Rural","Coastal",30,2015,"SAR"
"107","North Cornwall & Devon Borders",163,"England","Rural","Coastal",27.05,2015,"SAR"
"108","North Cumbria",71,"England","Rural","Coastal",25.72,2015,"SAR"
"109","North Devon",9,"England","Rural","Coastal",29.89,2015,"SAR"
"111","North Nottingham",126,"England","Rural","Inland",27.68,2015,"SAR"
"113","North West Kent",89,"England","Rural","Inland",26.86,2015,"SAR"
"114","North West London",147,"England","Rural","Inland",25.65,2015,"SAR"
"116","Northampton",104,"England","Rural","Inland",26.55,2015,"SAR"
"117","Northants Central",103,"England","Rural","Inland",30,2015,"SAR"
"118","Northumberland",63,"England","Rural","Coastal",26.9,2015,"SAR"
