"","Type","RentData","Year","Room","displayText"
"1","England",27.1265562913907,2015,"SAR","2015 SAR"
"2","Scotland",28.7,2015,"SAR","2015 SAR"
"3","Wales",27.1354545454545,2015,"SAR","2015 SAR"
"4","Urban",27.3065789473684,2015,"SAR","2015 SAR"
"5","Rural",27.2588157894737,2015,"SAR","2015 SAR"
"6","Coastal",27.7753164556962,2015,"SAR","2015 SAR"
"7","Inland",26.9075675675676,2015,"SAR","2015 SAR"
"8","Average",27.2683684210526,2015,"SAR","2015 SAR"
"9","England",25.1229801324503,2016,"SAR","2016 SAR"
"10","Scotland",25.5617647058824,2016,"SAR","2016 SAR"
"11","Wales",26.3454545454545,2016,"SAR","2016 SAR"
"12","Urban",24.9892105263158,2016,"SAR","2016 SAR"
"13","Rural",25.3824342105263,2016,"SAR","2016 SAR"
"14","Coastal",25.5470886075949,2016,"SAR","2016 SAR"
"15","Inland",25.1306306306306,2016,"SAR","2016 SAR"
"16","Average",25.3037894736842,2016,"SAR","2016 SAR"
"17","England",23.7308609271523,2017,"SAR","2017 SAR"
"18","Scotland",25.24,2017,"SAR","2017 SAR"
"19","Wales",25.43,2017,"SAR","2017 SAR"
"20","Urban",23.4763157894737,2017,"SAR","2017 SAR"
"21","Rural",24.2092105263158,2017,"SAR","2017 SAR"
"22","Coastal",24.5787341772152,2017,"SAR","2017 SAR"
"23","Inland",23.6953153153153,2017,"SAR","2017 SAR"
"24","Average",24.0626315789474,2017,"SAR","2017 SAR"
"25","England",22.2430463576159,2018,"SAR","2018 SAR"
"26","Scotland",24.1205882352941,2018,"SAR","2018 SAR"
"27","Wales",24.6431818181818,2018,"SAR","2018 SAR"
"28","Urban",22.7071052631579,2018,"SAR","2018 SAR"
"29","Rural",22.6844078947368,2018,"SAR","2018 SAR"
"30","Coastal",23.776329113924,2018,"SAR","2018 SAR"
"31","Inland",21.915045045045,2018,"SAR","2018 SAR"
"32","Average",22.6889473684211,2018,"SAR","2018 SAR"
"33","England",28.2613245033113,2015,"BED1","2015 BED1"
"34","Scotland",28.9611764705882,2015,"BED1","2015 BED1"
"35","Wales",28.6436363636364,2015,"BED1","2015 BED1"
"36","Urban",27.6602631578947,2015,"BED1","2015 BED1"
"37","Rural",28.5451973684211,2015,"BED1","2015 BED1"
"38","Coastal",28.6422784810127,2015,"BED1","2015 BED1"
"39","Inland",28.1731531531532,2015,"BED1","2015 BED1"
"40","Average",28.3682105263158,2015,"BED1","2015 BED1"
"41","England",26.2320529801325,2016,"BED1","2016 BED1"
"42","Scotland",27.5735294117647,2016,"BED1","2016 BED1"
"43","Wales",28.4577272727273,2016,"BED1","2016 BED1"
"44","Urban",25.7260526315789,2016,"BED1","2016 BED1"
"45","Rural",26.8307236842105,2016,"BED1","2016 BED1"
"46","Coastal",27.4888607594937,2016,"BED1","2016 BED1"
"47","Inland",25.9841441441441,2016,"BED1","2016 BED1"
"48","Average",26.6097894736842,2016,"BED1","2016 BED1"
"49","England",24.0633112582781,2017,"BED1","2017 BED1"
"50","Scotland",27.0558823529412,2017,"BED1","2017 BED1"
"51","Wales",28.0636363636364,2017,"BED1","2017 BED1"
